;fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
1096;6.6;0.725;0.09;5.5;0.11699999999999999;9.0;17.0;0.99655;3.35;0.49;10.8;6
1098;8.0;0.31;0.45;2.1;0.21600000000000003;5.0;16.0;0.9935799999999999;3.15;0.81;12.5;7
1100;8.4;0.34;0.42;2.1;0.07200000000000001;23.0;36.0;0.99392;3.11;0.78;12.4;6
1102;6.1;0.48;0.09;1.7;0.078;18.0;30.0;0.9940200000000001;3.45;0.54;11.2;6
1104;8.0;0.48;0.34;2.2;0.073;16.0;25.0;0.9936;3.28;0.66;12.4;6
1106;8.2;0.23;0.42;1.9;0.069;9.0;17.0;0.9937600000000001;3.21;0.54;12.3;6
1108;8.1;0.78;0.1;3.3;0.09;4.0;13.0;0.99855;3.36;0.49;9.5;5
1110;8.3;0.53;0.0;1.4;0.07;6.0;14.0;0.99593;3.25;0.64;10.0;6
1112;7.9;0.33;0.41;1.5;0.055999999999999994;6.0;35.0;0.9939600000000001;3.29;0.71;11.0;6
1114;5.0;0.4;0.5;4.3;0.046;29.0;80.0;0.9902;3.49;0.66;13.6;6
1116;7.0;0.69;0.07;2.5;0.091;15.0;21.0;0.99572;3.38;0.6;11.3;6
1118;7.1;0.39;0.12;2.1;0.065;14.0;24.0;0.9925200000000001;3.3;0.53;13.3;6
1120;7.9;0.54;0.34;2.5;0.076;8.0;17.0;0.99235;3.2;0.72;13.1;8
1122;6.3;0.47;0.0;1.4;0.055;27.0;33.0;0.9922;3.45;0.48;12.3;6
1124;6.5;0.58;0.0;2.2;0.096;3.0;13.0;0.9955700000000001;3.62;0.62;11.5;4
1126;5.8;0.29;0.26;1.7;0.063;3.0;11.0;0.9915;3.39;0.54;13.5;6
1128;10.0;0.43;0.33;2.7;0.095;28.0;89.0;0.9984;3.22;0.68;10.0;5
1130;9.1;0.6;0.0;1.9;0.057999999999999996;5.0;10.0;0.9977;3.18;0.63;10.4;6
1132;7.4;0.36;0.34;1.8;0.075;18.0;38.0;0.9933;3.38;0.88;13.6;7
1134;8.5;0.28;0.35;1.7;0.061;6.0;15.0;0.99524;3.3;0.74;11.8;7
1136;10.4;0.52;0.45;2.0;0.08;6.0;13.0;0.99774;3.22;0.76;11.4;6
1138;7.5;0.41;0.15;3.7;0.10400000000000001;29.0;94.0;0.9978600000000001;3.14;0.58;9.1;5
1140;7.3;0.4;0.3;1.7;0.08;33.0;79.0;0.9969;3.41;0.65;9.5;6
1142;6.9;0.45;0.11;2.4;0.043;6.0;12.0;0.99354;3.3;0.65;11.4;6
1144;7.3;0.32;0.23;2.3;0.066;35.0;70.0;0.9958799999999999;3.43;0.62;10.1;5
1146;7.8;0.5;0.12;1.8;0.17800000000000002;6.0;21.0;0.996;3.28;0.87;9.8;6
1148;7.8;0.39;0.42;2.0;0.086;9.0;21.0;0.99526;3.39;0.66;11.6;6
1150;8.2;0.33;0.32;2.8;0.067;4.0;12.0;0.9947299999999999;3.3;0.76;12.8;7
1152;8.3;0.6;0.25;2.2;0.11800000000000001;9.0;38.0;0.99616;3.15;0.53;9.8;5
1154;6.6;0.58;0.0;2.2;0.1;50.0;63.0;0.99544;3.59;0.68;11.4;6
1156;8.5;0.18;0.51;1.75;0.071;45.0;88.0;0.99524;3.33;0.76;11.8;7
1158;6.7;0.41;0.43;2.8;0.076;22.0;54.0;0.99572;3.42;1.16;10.6;6
1160;10.6;0.36;0.57;2.3;0.087;6.0;20.0;0.9967600000000001;3.14;0.72;11.1;7
1162;8.5;0.32;0.42;2.3;0.075;12.0;19.0;0.99434;3.14;0.71;11.8;7
1164;9.0;0.785;0.24;1.7;0.078;10.0;21.0;0.99692;3.29;0.67;10.0;5
1166;9.9;0.54;0.26;2.0;0.111;7.0;60.0;0.9970899999999999;2.94;0.98;10.2;5
1168;6.5;0.34;0.27;2.8;0.067;8.0;44.0;0.99384;3.21;0.56;12.0;6
1170;9.2;0.36;0.34;1.6;0.062;5.0;12.0;0.9966700000000001;3.2;0.67;10.5;6
1172;9.7;0.42;0.46;2.1;0.07400000000000001;5.0;16.0;0.99649;3.27;0.74;12.3;6
1174;7.6;0.36;0.31;1.7;0.079;26.0;65.0;0.99716;3.46;0.62;9.5;6
1176;6.5;0.88;0.03;5.6;0.079;23.0;47.0;0.99572;3.58;0.5;11.2;4
1178;5.6;0.915;0.0;2.1;0.040999999999999995;17.0;78.0;0.99346;3.68;0.73;11.4;5
1180;8.2;0.35;0.33;2.4;0.076;11.0;47.0;0.9959899999999999;3.27;0.81;11.0;6
1182;10.2;0.4;0.4;2.5;0.068;41.0;54.0;0.99754;3.38;0.86;10.5;6
1184;6.7;0.64;0.23;2.1;0.08;11.0;119.0;0.9953799999999999;3.36;0.7;10.9;5
1186;6.6;0.8;0.03;7.8;0.079;6.0;12.0;0.9963;3.52;0.5;12.2;5
1188;6.7;0.64;0.23;2.1;0.08;11.0;119.0;0.9953799999999999;3.36;0.7;10.9;5
1190;9.1;0.4;0.57;4.6;0.08;6.0;20.0;0.9965200000000001;3.28;0.57;12.5;6
1192;7.2;0.25;0.37;2.5;0.063;11.0;41.0;0.99439;3.52;0.8;12.4;7
1194;7.0;0.745;0.12;1.8;0.114;15.0;64.0;0.9958799999999999;3.22;0.59;9.5;6
1196;7.9;0.58;0.23;2.3;0.076;23.0;94.0;0.9968600000000001;3.21;0.58;9.5;6
1198;7.7;0.26;0.26;2.0;0.052000000000000005;19.0;77.0;0.9951;3.15;0.79;10.9;6
1200;7.7;0.57;0.21;1.5;0.069;4.0;9.0;0.9945799999999999;3.16;0.54;9.8;6
1202;8.6;0.42;0.39;1.8;0.068;6.0;12.0;0.99516;3.35;0.69;11.7;8
1204;7.2;0.36;0.46;2.1;0.07400000000000001;24.0;44.0;0.99534;3.4;0.85;11.0;7
1206;7.2;0.36;0.46;2.1;0.07400000000000001;24.0;44.0;0.99534;3.4;0.85;11.0;7
1208;7.2;0.36;0.46;2.1;0.07400000000000001;24.0;44.0;0.99534;3.4;0.85;11.0;7
1210;6.8;0.65;0.02;2.1;0.078;8.0;15.0;0.99498;3.35;0.62;10.4;6
1212;6.8;0.65;0.02;2.1;0.078;8.0;15.0;0.99498;3.35;0.62;10.4;6
1214;10.2;0.33;0.46;1.9;0.081;6.0;9.0;0.9962799999999999;3.1;0.48;10.4;6
1216;7.9;0.57;0.31;2.0;0.079;10.0;79.0;0.99677;3.29;0.69;9.5;6
1218;8.2;0.4;0.31;1.9;0.08199999999999999;8.0;24.0;0.996;3.24;0.69;10.6;6
1220;10.9;0.32;0.52;1.8;0.132;17.0;44.0;0.99734;3.28;0.77;11.5;6
1222;8.1;0.53;0.22;2.2;0.078;33.0;89.0;0.9967799999999999;3.26;0.46;9.6;6
1224;12.6;0.39;0.49;2.5;0.08;8.0;20.0;0.9992;3.07;0.82;10.3;6
1226;7.5;0.58;0.03;4.1;0.08;27.0;46.0;0.99592;3.02;0.47;9.2;5
1228;5.1;0.42;0.0;1.8;0.044000000000000004;18.0;88.0;0.9915700000000001;3.68;0.73;13.6;7
1230;7.7;0.18;0.34;2.7;0.066;15.0;58.0;0.9947;3.37;0.78;11.8;6
1232;7.6;0.43;0.29;2.1;0.075;19.0;66.0;0.99718;3.4;0.64;9.5;5
1234;7.1;0.75;0.01;2.2;0.059000000000000004;11.0;18.0;0.9924200000000001;3.39;0.4;12.8;6
1236;7.8;0.55;0.0;1.7;0.07;7.0;17.0;0.99659;3.26;0.64;9.4;6
1238;8.1;0.73;0.0;2.5;0.081;12.0;24.0;0.99798;3.38;0.46;9.6;4
1240;7.5;0.61;0.2;1.7;0.076;36.0;60.0;0.9949399999999999;3.1;0.4;9.3;5
1242;9.0;0.4;0.41;2.0;0.057999999999999996;15.0;40.0;0.9941399999999999;3.22;0.6;12.2;6
1244;5.9;0.29;0.25;13.4;0.067;72.0;160.0;0.99721;3.33;0.54;10.3;6
1246;7.4;0.74;0.07;1.7;0.086;15.0;48.0;0.9950200000000001;3.12;0.48;10.0;5
1248;6.9;0.41;0.33;2.2;0.081;22.0;36.0;0.9949;3.41;0.75;11.1;6
1250;7.1;0.6;0.01;2.3;0.079;24.0;37.0;0.9951399999999999;3.4;0.61;10.9;6
1252;7.1;0.72;0.0;1.8;0.12300000000000001;6.0;14.0;0.9962700000000001;3.45;0.58;9.8;5
1254;7.8;0.7;0.06;1.9;0.079;20.0;35.0;0.9962799999999999;3.4;0.69;10.9;5
1256;7.5;0.59;0.22;1.8;0.08199999999999999;43.0;60.0;0.9949899999999999;3.1;0.42;9.2;5
1258;6.8;0.64;0.0;2.7;0.12300000000000001;15.0;33.0;0.9953799999999999;3.44;0.63;11.3;6
1260;8.6;0.635;0.68;1.8;0.40299999999999997;19.0;56.0;0.9963200000000001;3.02;1.15;9.3;5
1262;9.8;0.45;0.38;2.5;0.081;34.0;66.0;0.99726;3.15;0.58;9.8;5
1264;8.5;0.37;0.32;1.8;0.066;26.0;51.0;0.99456;3.38;0.72;11.8;6
1266;7.2;0.57;0.05;2.3;0.081;16.0;36.0;0.99564;3.38;0.6;10.3;6
1268;6.9;0.41;0.31;2.0;0.079;21.0;51.0;0.9966799999999999;3.47;0.55;9.5;6
1270;5.0;0.38;0.01;1.6;0.048;26.0;60.0;0.9908399999999999;3.7;0.75;14.0;6
1272;5.9;0.46;0.0;1.9;0.077;25.0;44.0;0.99385;3.5;0.53;11.2;5
1274;7.8;0.58;0.13;2.1;0.102;17.0;36.0;0.9944;3.24;0.53;11.2;6
1276;8.5;0.4;0.4;6.3;0.05;3.0;10.0;0.99566;3.28;0.56;12.0;4
1278;8.0;0.715;0.22;2.3;0.075;13.0;81.0;0.9968799999999999;3.24;0.54;9.5;6
1280;7.1;0.46;0.2;1.9;0.077;28.0;54.0;0.9956;3.37;0.64;10.4;6
1282;7.9;0.765;0.0;2.0;0.084;9.0;22.0;0.9961899999999999;3.33;0.68;10.9;6
1284;7.0;0.42;0.19;2.3;0.071;18.0;36.0;0.9947600000000001;3.39;0.56;10.9;5
1286;7.1;0.16;0.44;2.5;0.068;17.0;31.0;0.9932799999999999;3.35;0.54;12.4;6
1288;7.0;0.6;0.3;4.5;0.068;20.0;110.0;0.9991399999999999;3.3;1.17;10.2;5
1290;7.6;0.74;0.0;1.9;0.1;6.0;12.0;0.99521;3.36;0.59;11.0;5
1292;5.9;0.395;0.13;2.4;0.055999999999999994;14.0;28.0;0.9936200000000001;3.62;0.67;12.4;6
1294;8.2;0.635;0.1;2.1;0.073;25.0;60.0;0.9963799999999999;3.29;0.75;10.9;6
1296;6.6;0.63;0.0;4.3;0.09300000000000001;51.0;77.5;0.9955799999999999;3.2;0.45;9.5;5
1298;5.7;0.6;0.0;1.4;0.063;11.0;18.0;0.9919100000000001;3.45;0.56;12.2;6
1300;5.2;0.645;0.0;2.15;0.08;15.0;28.0;0.99444;3.78;0.61;12.5;6
1302;9.1;0.37;0.32;2.1;0.064;4.0;15.0;0.9957600000000001;3.3;0.8;11.2;6
1304;7.6;0.79;0.21;2.3;0.087;21.0;68.0;0.9955;3.12;0.44;9.2;5
1306;9.7;0.69;0.32;2.5;0.08800000000000001;22.0;91.0;0.9979;3.29;0.62;10.1;5
1308;9.7;0.69;0.32;2.5;0.08800000000000001;22.0;91.0;0.9979;3.29;0.62;10.1;5
1310;7.5;0.61;0.26;1.9;0.073;24.0;88.0;0.9961200000000001;3.3;0.53;9.8;5
1312;8.0;1.18;0.21;1.9;0.083;14.0;41.0;0.9953200000000001;3.34;0.47;10.5;5
1314;7.0;0.36;0.21;2.4;0.086;24.0;69.0;0.99556;3.4;0.53;10.1;6
1316;5.4;0.74;0.0;1.2;0.040999999999999995;16.0;46.0;0.9925799999999999;4.01;0.59;12.5;6
1318;7.5;0.63;0.27;2.0;0.083;17.0;91.0;0.99616;3.26;0.58;9.8;6
1320;9.7;0.66;0.34;2.6;0.094;12.0;88.0;0.9979600000000001;3.26;0.66;10.1;5
1322;9.1;0.34;0.42;1.8;0.057999999999999996;9.0;18.0;0.99392;3.18;0.55;11.4;5
1324;6.7;0.46;0.24;1.7;0.077;18.0;34.0;0.9948;3.39;0.6;10.6;6
1326;6.7;0.46;0.24;1.7;0.077;18.0;34.0;0.9948;3.39;0.6;10.6;6
1328;6.5;0.52;0.11;1.8;0.073;13.0;38.0;0.9955;3.34;0.52;9.3;5
1330;7.4;0.6;0.26;2.1;0.083;17.0;91.0;0.99616;3.29;0.56;9.8;6
1332;8.4;0.39;0.1;1.7;0.075;6.0;25.0;0.9958100000000001;3.09;0.43;9.7;6
1334;7.2;0.835;0.0;2.0;0.166;4.0;11.0;0.99608;3.39;0.52;10.0;5
1336;6.0;0.5;0.0;1.4;0.057;15.0;26.0;0.9944799999999999;3.36;0.45;9.5;5
1338;6.0;0.5;0.0;1.4;0.057;15.0;26.0;0.9944799999999999;3.36;0.45;9.5;5
1340;7.5;0.51;0.02;1.7;0.084;13.0;31.0;0.9953799999999999;3.36;0.54;10.5;6
1342;7.6;0.54;0.02;1.7;0.085;17.0;31.0;0.9958899999999999;3.37;0.51;10.4;6
1344;11.5;0.42;0.48;2.6;0.077;8.0;20.0;0.9985200000000001;3.09;0.53;11.0;5
1346;6.1;0.59;0.01;2.1;0.055999999999999994;5.0;13.0;0.99472;3.52;0.56;11.4;5
1348;7.2;0.655;0.03;1.8;0.078;7.0;12.0;0.99587;3.34;0.39;9.5;5
1350;9.0;0.6;0.29;2.0;0.069;32.0;73.0;0.99654;3.34;0.57;10.0;5
1352;7.6;0.645;0.03;1.9;0.086;14.0;57.0;0.9969;3.37;0.46;10.3;5
1354;7.2;0.58;0.03;2.3;0.077;7.0;28.0;0.9956799999999999;3.35;0.52;10.0;5
1356;6.1;0.34;0.25;1.8;0.084;4.0;28.0;0.99464;3.36;0.44;10.1;5
1358;7.4;0.64;0.17;5.4;0.168;52.0;98.0;0.99736;3.28;0.5;9.5;5
1360;9.2;0.54;0.31;2.3;0.11199999999999999;11.0;38.0;0.9969899999999999;3.24;0.56;10.9;5
1362;11.6;0.475;0.4;1.4;0.091;6.0;28.0;0.9970399999999999;3.07;0.65;10.0333333333333;6
1364;7.2;0.605;0.02;1.9;0.096;10.0;31.0;0.995;3.46;0.53;11.8;6
1366;7.3;0.74;0.08;1.7;0.094;10.0;45.0;0.9957600000000001;3.24;0.5;9.8;5
1368;8.0;0.77;0.32;2.1;0.079;16.0;74.0;0.99656;3.27;0.5;9.8;6
1370;8.7;0.78;0.51;1.7;0.415;12.0;66.0;0.99623;3.0;1.17;9.2;5
1372;8.7;0.78;0.51;1.7;0.415;12.0;66.0;0.99623;3.0;1.17;9.2;5
1374;6.8;0.815;0.0;1.2;0.267;16.0;29.0;0.99471;3.32;0.51;9.8;3
1376;8.2;0.885;0.2;1.4;0.086;7.0;31.0;0.9946;3.11;0.46;10.0;5
1378;7.2;0.45;0.15;2.0;0.078;10.0;28.0;0.9960899999999999;3.29;0.51;9.9;6
1380;7.5;0.57;0.02;2.6;0.077;11.0;35.0;0.9955700000000001;3.36;0.62;10.8;6
1382;8.0;0.6;0.22;2.1;0.08;25.0;105.0;0.99613;3.3;0.49;9.9;5
1384;7.1;0.755;0.15;1.8;0.107;20.0;84.0;0.99593;3.19;0.5;9.5;5
1386;7.4;0.64;0.07;1.8;0.1;8.0;23.0;0.9961;3.3;0.58;9.6;5
1388;6.6;0.64;0.31;6.1;0.083;7.0;49.0;0.99718;3.35;0.68;10.3;5
1390;6.0;0.49;0.0;2.3;0.068;15.0;33.0;0.99292;3.58;0.59;12.5;6
1392;7.1;0.62;0.06;1.3;0.07;5.0;12.0;0.9942;3.17;0.48;9.8;5
1394;6.4;0.57;0.14;3.9;0.07;27.0;73.0;0.99669;3.32;0.48;9.2;5
1396;8.7;0.675;0.1;1.6;0.09;4.0;11.0;0.99745;3.31;0.65;9.55;5
1398;7.0;0.6;0.12;2.2;0.083;13.0;28.0;0.9966;3.52;0.62;10.2;7
1400;7.9;0.69;0.21;2.1;0.08;33.0;141.0;0.9962;3.25;0.51;9.9;5
1402;7.6;0.3;0.42;2.0;0.052000000000000005;6.0;24.0;0.9963;3.44;0.82;11.9;6
1404;8.0;0.5;0.39;2.6;0.08199999999999999;12.0;46.0;0.9985;3.43;0.62;10.7;6
1406;8.2;0.24;0.34;5.1;0.062;8.0;22.0;0.9974;3.22;0.94;10.9;6
1408;8.1;0.29;0.36;2.2;0.048;35.0;53.0;0.995;3.27;1.01;12.4;7
1410;6.6;0.96;0.0;1.8;0.08199999999999999;5.0;16.0;0.9936;3.5;0.44;11.9;6
1412;8.2;0.24;0.34;5.1;0.062;8.0;22.0;0.9974;3.22;0.94;10.9;6
1414;10.0;0.32;0.59;2.2;0.077;3.0;15.0;0.9994;3.2;0.78;9.6;5
1416;10.0;0.32;0.59;2.2;0.077;3.0;15.0;0.9994;3.2;0.78;9.6;5
1418;7.8;0.53;0.01;1.6;0.077;3.0;19.0;0.995;3.16;0.46;9.8;5
1420;7.8;0.53;0.01;1.6;0.077;3.0;19.0;0.995;3.16;0.46;9.8;5
1422;7.0;0.54;0.0;2.1;0.079;39.0;55.0;0.9956;3.39;0.84;11.4;6
1424;8.3;0.26;0.37;1.4;0.076;8.0;23.0;0.9974;3.26;0.7;9.6;6
1426;7.7;0.23;0.37;1.8;0.046;23.0;60.0;0.9971;3.41;0.71;12.1;6
1428;7.8;0.64;0.0;1.9;0.07200000000000001;27.0;55.0;0.9962;3.31;0.63;11.0;5
1430;7.4;0.41;0.24;1.8;0.066;18.0;47.0;0.9956;3.37;0.62;10.4;5
1432;5.9;0.44;0.0;1.6;0.042;3.0;11.0;0.9944;3.48;0.85;11.7;6
1434;10.2;0.54;0.37;15.4;0.214;55.0;95.0;1.00369;3.18;0.77;9.0;6
1436;10.0;0.38;0.38;1.6;0.16899999999999998;27.0;90.0;0.9991399999999999;3.15;0.65;8.5;5
1438;7.0;0.59;0.0;1.7;0.052000000000000005;3.0;8.0;0.996;3.41;0.47;10.3;5
1440;7.2;0.37;0.32;2.0;0.062;15.0;28.0;0.9947;3.23;0.73;11.3;7
1442;6.9;0.63;0.02;1.9;0.078;18.0;30.0;0.9971200000000001;3.4;0.75;9.8;5
1444;7.3;0.67;0.02;2.2;0.07200000000000001;31.0;92.0;0.99566;3.32;0.68;11.1;6
1446;6.9;0.63;0.02;1.9;0.078;18.0;30.0;0.9971200000000001;3.4;0.75;9.8;5
1448;6.9;0.58;0.01;1.9;0.08;40.0;54.0;0.9968299999999999;3.4;0.73;9.7;5
1450;7.2;0.37;0.32;2.0;0.062;15.0;28.0;0.9947;3.23;0.73;11.3;7
1452;6.6;0.58;0.02;2.0;0.062;37.0;53.0;0.99374;3.35;0.76;11.6;7
1454;11.7;0.45;0.63;2.2;0.073;7.0;23.0;0.99974;3.21;0.69;10.9;6
1456;6.0;0.54;0.06;1.8;0.05;38.0;89.0;0.99236;3.3;0.5;10.55;6
1458;8.4;0.29;0.4;1.7;0.067;8.0;20.0;0.99603;3.39;0.6;10.5;5
1460;6.4;0.42;0.09;2.3;0.054000000000000006;34.0;64.0;0.99724;3.41;0.68;10.4;6
1462;6.8;0.64;0.03;2.3;0.075;14.0;31.0;0.99545;3.36;0.58;10.4;6
1464;6.8;0.59;0.1;1.7;0.063;34.0;53.0;0.9958;3.41;0.67;9.7;5
1466;7.3;0.48;0.32;2.1;0.062;31.0;54.0;0.9972799999999999;3.3;0.65;10.0;7
1468;7.3;0.48;0.32;2.1;0.062;31.0;54.0;0.9972799999999999;3.3;0.65;10.0;7
1470;10.0;0.69;0.11;1.4;0.084;8.0;24.0;0.9957799999999999;2.88;0.47;9.7;5
1472;7.6;0.35;0.6;2.6;0.073;23.0;44.0;0.99656;3.38;0.79;11.1;6
1474;9.9;0.5;0.5;13.8;0.205;48.0;82.0;1.00242;3.16;0.75;8.8;5
1476;9.9;0.5;0.5;13.8;0.205;48.0;82.0;1.00242;3.16;0.75;8.8;5
1478;7.1;0.875;0.05;5.7;0.08199999999999999;3.0;14.0;0.99808;3.4;0.52;10.2;3
1480;5.6;0.62;0.03;1.5;0.08;6.0;13.0;0.99498;3.66;0.62;10.1;4
1482;7.2;0.58;0.54;2.1;0.114;3.0;9.0;0.9971899999999999;3.33;0.57;10.3;4
1484;6.8;0.91;0.06;2.0;0.06;4.0;11.0;0.99592;3.53;0.64;10.9;4
1486;6.8;0.68;0.21;2.1;0.07;9.0;23.0;0.99546;3.38;0.6;10.3;5
1488;5.6;0.54;0.04;1.7;0.049;5.0;13.0;0.9942;3.72;0.58;11.4;5
1490;7.1;0.22;0.49;1.8;0.039;8.0;18.0;0.99344;3.39;0.56;12.4;6
1492;6.2;0.65;0.06;1.6;0.05;6.0;18.0;0.9934799999999999;3.57;0.54;11.95;5
1494;6.4;0.31;0.09;1.4;0.066;15.0;28.0;0.99459;3.42;0.7;10.0;7
1496;7.7;0.54;0.26;1.9;0.08900000000000001;23.0;147.0;0.99636;3.26;0.59;9.7;5
1498;6.6;0.895;0.04;2.3;0.068;7.0;13.0;0.99582;3.53;0.58;10.8;6
1500;7.5;0.725;0.04;1.5;0.076;8.0;15.0;0.99508;3.26;0.53;9.6;5
1502;7.3;0.585;0.18;2.4;0.078;15.0;60.0;0.9963799999999999;3.31;0.54;9.8;5
1504;7.5;0.38;0.57;2.3;0.106;5.0;12.0;0.99605;3.36;0.55;11.4;6
1506;6.8;0.81;0.05;2.0;0.07;6.0;14.0;0.9956200000000001;3.51;0.66;10.8;6
1508;7.1;0.27;0.6;2.1;0.07400000000000001;17.0;25.0;0.9981399999999999;3.38;0.72;10.6;6
1510;6.4;0.36;0.21;2.2;0.047;26.0;48.0;0.99661;3.47;0.77;9.7;6
1512;6.4;0.79;0.04;2.2;0.061;11.0;17.0;0.9958799999999999;3.53;0.65;10.4;6
1514;6.9;0.84;0.21;4.1;0.07400000000000001;16.0;65.0;0.9984200000000001;3.53;0.72;9.23333333333333;6
1516;6.1;0.32;0.25;2.3;0.071;23.0;58.0;0.9963299999999999;3.42;0.97;10.6;5
1518;7.4;0.47;0.46;2.2;0.114;7.0;20.0;0.9964700000000001;3.32;0.63;10.5;5
1520;6.5;0.53;0.06;2.0;0.063;29.0;44.0;0.9948899999999999;3.38;0.83;10.3;6
1522;6.1;0.32;0.25;2.3;0.071;23.0;58.0;0.9963299999999999;3.42;0.97;10.6;5
1524;6.0;0.42;0.19;2.0;0.075;22.0;47.0;0.9952200000000001;3.39;0.78;10.0;6
1526;6.8;0.47;0.08;2.2;0.064;18.0;38.0;0.9955299999999999;3.3;0.65;9.6;6
1528;7.9;0.29;0.49;2.2;0.096;21.0;59.0;0.9971399999999999;3.31;0.67;10.1;6
1530;6.6;0.44;0.09;2.2;0.063;9.0;18.0;0.99444;3.42;0.69;11.3;6
1532;7.2;0.53;0.13;2.0;0.057999999999999996;18.0;22.0;0.9957299999999999;3.21;0.68;9.9;6
1534;6.6;0.56;0.14;2.4;0.064;13.0;29.0;0.99397;3.42;0.62;11.7;7
1536;6.1;0.53;0.08;1.9;0.077;24.0;45.0;0.9952799999999999;3.6;0.68;10.3;6
1538;6.2;0.64;0.09;2.5;0.081;15.0;26.0;0.9953799999999999;3.57;0.63;12.0;5
1540;6.2;0.52;0.08;4.4;0.071;11.0;32.0;0.99646;3.56;0.63;11.6;6
1542;6.7;0.855;0.02;1.9;0.064;29.0;38.0;0.99472;3.3;0.56;10.75;6
1544;8.4;0.37;0.43;2.3;0.063;12.0;19.0;0.9955;3.17;0.81;11.2;7
1546;7.0;0.57;0.02;2.0;0.07200000000000001;17.0;26.0;0.99575;3.36;0.61;10.2;5
1548;11.2;0.4;0.5;2.0;0.099;19.0;50.0;0.9978299999999999;3.1;0.58;10.4;5
1550;7.1;0.68;0.0;2.3;0.087;17.0;26.0;0.9978299999999999;3.45;0.53;9.5;5
1552;6.3;0.68;0.01;3.7;0.10300000000000001;32.0;54.0;0.9958600000000001;3.51;0.66;11.3;6
1554;6.6;0.855;0.02;2.4;0.062;15.0;23.0;0.9962700000000001;3.54;0.6;11.0;6
1556;6.6;0.88;0.04;2.2;0.066;12.0;20.0;0.99636;3.53;0.56;9.9;5
1558;6.9;0.63;0.33;6.7;0.235;66.0;115.0;0.99787;3.22;0.56;9.5;5
1560;7.8;0.6;0.26;2.0;0.08;31.0;131.0;0.9962200000000001;3.21;0.52;9.9;5
1562;7.2;0.695;0.13;2.0;0.076;12.0;20.0;0.99546;3.29;0.54;10.1;5
1564;7.2;0.695;0.13;2.0;0.076;12.0;20.0;0.99546;3.29;0.54;10.1;5
1566;6.7;0.16;0.64;2.1;0.059000000000000004;24.0;52.0;0.9949399999999999;3.34;0.71;11.2;6
1568;7.0;0.56;0.13;1.6;0.077;25.0;42.0;0.99629;3.34;0.59;9.2;5
1570;6.4;0.36;0.53;2.2;0.23;19.0;35.0;0.9934;3.37;0.93;12.4;6
1572;7.3;0.69;0.32;2.2;0.069;35.0;104.0;0.9963200000000001;3.33;0.51;9.5;5
1574;5.6;0.31;0.78;13.9;0.07400000000000001;23.0;92.0;0.99677;3.39;0.48;10.5;6
1576;8.0;0.3;0.63;1.6;0.081;16.0;29.0;0.9958799999999999;3.3;0.78;10.8;6
1578;6.8;0.67;0.15;1.8;0.11800000000000001;13.0;20.0;0.9954;3.42;0.67;11.3;6
1580;7.4;0.35;0.33;2.4;0.068;9.0;26.0;0.9947;3.36;0.6;11.9;6
1582;6.1;0.715;0.1;2.6;0.053;13.0;27.0;0.9936200000000001;3.57;0.5;11.9;5
1584;6.7;0.32;0.44;2.4;0.061;24.0;34.0;0.99484;3.29;0.8;11.6;7
1586;7.5;0.31;0.41;2.4;0.065;34.0;60.0;0.99492;3.34;0.85;11.4;6
1588;7.2;0.66;0.33;2.5;0.068;34.0;102.0;0.9941399999999999;3.27;0.78;12.8;6
1590;6.3;0.55;0.15;1.8;0.077;26.0;35.0;0.9931399999999999;3.32;0.82;11.6;6
1592;6.3;0.51;0.13;2.3;0.076;29.0;40.0;0.99574;3.42;0.75;11.0;6
1594;6.2;0.6;0.08;2.0;0.09;32.0;44.0;0.9949;3.45;0.58;10.5;5
1596;6.3;0.51;0.13;2.3;0.076;29.0;40.0;0.99574;3.42;0.75;11.0;6
1598;6.0;0.31;0.47;3.6;0.067;18.0;42.0;0.99549;3.39;0.66;11.0;6
